Profesional,Categoría CIE-10,Sub-Motivo (etiqueta usuario),Motivo Técnico (base de datos)
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Adolfo Henríquez Valenzuela,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Adolfo Henríquez Valenzuela,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Adolfo Henríquez Valenzuela,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Alejandro Gunckel Barría,Alimentación y relación con la comida,Restricción alimentaria / miedo a subir de peso,Anorexia Nerviosa
Alejandro Gunckel Barría,Alimentación y relación con la comida,Vómitos/laxantes/compensaciones,Bulimia Nerviosa
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Alejandro Gunckel Barría,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Alejandro Gunckel Barría,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Alejandro Gunckel Barría,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Alejandro Gunckel Barría,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Alejandro Gunckel Barría,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Alejandro Gunckel Barría,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Alejandro Gunckel Barría,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Alejandro Gunckel Barría,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Alejandro Gunckel Barría,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Alejandro Gunckel Barría,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Alejandro Gunckel Barría,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Alejandro Gunckel Barría,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Alejandro Gunckel Barría,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Angelica Garcia Osorio,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Angelica Garcia Osorio,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Angelica Garcia Osorio,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Angelica Garcia Osorio,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Angelica Garcia Osorio,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Angelica Garcia Osorio,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Angelica Garcia Osorio,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Angelica Garcia Osorio,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Angelica Garcia Osorio,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Angelica Garcia Osorio,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Angelica Garcia Osorio,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Angelica Garcia Osorio,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Angelica Garcia Osorio,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Angelica Garcia Osorio,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Angelica Garcia Osorio,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Angelica Garcia Osorio,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Bryan Paredes Ortíz,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Bryan Paredes Ortíz,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Bryan Paredes Ortíz,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Bryan Paredes Ortíz,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Bryan Paredes Ortíz,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Bryan Paredes Ortíz,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Bryan Paredes Ortíz,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Bryan Paredes Ortíz,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Bryan Paredes Ortíz,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Bryan Paredes Ortíz,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Bryan Paredes Ortíz,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Bryan Paredes Ortíz,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Bryan Paredes Ortíz,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Bryan Paredes Ortíz,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Bryan Paredes Ortíz,Evaluación psicológica / informe / orientación,Informe para contexto educacional/laboral (según pertinencia).,Evaluación psicológica / informe / orientación
Bryan Paredes Ortíz,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Bryan Paredes Ortíz,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Bryan Paredes Ortíz,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Bryan Paredes Ortíz,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Bryan Paredes Ortíz,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Bryan Paredes Ortíz,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Bryan Paredes Ortíz,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Bryan Paredes Ortíz,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Bryan Paredes Ortíz,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Bryan Paredes Ortíz,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Bryan Paredes Ortíz,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Bryan Paredes Ortíz,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Bryan Paredes Ortíz,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Bryan Paredes Ortíz,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Bryan Paredes Ortíz,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Bryan Paredes Ortíz,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Bryan Paredes Ortíz,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Carolina Infante Aravena,Acompañamiento emocional por enfermedad médica,Adherencia a tratamientos y cambios de hábitos,Enfermedades crónicas y agudas - Enfermedades raras poco frecuentes y huérfanas
Carolina Infante Aravena,Acompañamiento emocional por enfermedad médica,Afrontamiento emocional de enfermedad crónica/aguda/rara,Enfermedades crónicas y agudas - Enfermedades raras poco frecuentes y huérfanas
Carolina Infante Aravena,Acompañamiento emocional por enfermedad médica,Estrés del cuidador/a,Enfermedades crónicas y agudas - Enfermedades raras poco frecuentes y huérfanas
Carolina Infante Aravena,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Carolina Infante Aravena,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Carolina Infante Aravena,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Carolina Infante Aravena,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Carolina Infante Aravena,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Carolina Infante Aravena,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Carolina Infante Aravena,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Carolina Infante Aravena,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Carolina Infante Aravena,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Carolina Infante Aravena,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Carolina Infante Aravena,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Carolina Infante Aravena,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Carolina Infante Aravena,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Carolina Infante Aravena,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Carolina Infante Aravena,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Carolina Infante Aravena,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Carolina Infante Aravena,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Carolina Infante Aravena,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Carolina Infante Aravena,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Carolina Infante Aravena,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Carolina Infante Aravena,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Carolina Infante Aravena,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Carolina Infante Aravena,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Carolina Infante Aravena,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Carolina Infante Aravena,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Carolina Infante Aravena,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Carolina Infante Aravena,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Carolina Infante Aravena,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Carolina Infante Aravena,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
