Profesional,Categoría CIE-10,Sub-Motivo (etiqueta usuario),Motivo Técnico (base de datos)
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Carolina Infante Aravena,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Christopher Villa Dupretts,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Christopher Villa Dupretts,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Christopher Villa Dupretts,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Christopher Villa Dupretts,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Christopher Villa Dupretts,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Christopher Villa Dupretts,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Christopher Villa Dupretts,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Christopher Villa Dupretts,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Christopher Villa Dupretts,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Christopher Villa Dupretts,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Christopher Villa Dupretts,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Francisca Rojas Jamet,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Francisca Rojas Jamet,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Francisca Rojas Jamet,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Francisca Rojas Jamet,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Francisca Rojas Jamet,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Francisca Rojas Jamet,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Francisca Rojas Jamet,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Francisca Rojas Jamet,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Francisca Rojas Jamet,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Francisca Rojas Jamet,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Francisca Rojas Jamet,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Francisca Rojas Jamet,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Francisca Rojas Jamet,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Francisca Rojas Jamet,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Francisca Rojas Jamet,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Francisca Rojas Jamet,Evaluación psicológica / informe / orientación,Informe para contexto educacional/laboral (según pertinencia).,Evaluación psicológica / informe / orientación
Francisca Rojas Jamet,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Francisca Rojas Jamet,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Francisca Rojas Jamet,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Francisca Rojas Jamet,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Francisca Rojas Jamet,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Francisca Rojas Jamet,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Francisca Rojas Jamet,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Francisca Rojas Jamet,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Francisca Rojas Jamet,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Francisca Rojas Jamet,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Francisca Rojas Jamet,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Francisca Rojas Jamet,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Francisca Rojas Jamet,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Francisca Rojas Jamet,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Francisca Rojas Jamet,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Francisca Rojas Jamet,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Francisca Rojas Jamet,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Francisca Rojas Jamet,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Francisca Rojas Jamet,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Francisca Rojas Jamet,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Isabel Morales Chabla,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Isabel Morales Chabla,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Isabel Morales Chabla,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Isabel Morales Chabla,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Isabel Morales Chabla,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Isabel Morales Chabla,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Isabel Morales Chabla,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Isabel Morales Chabla,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Isabel Morales Chabla,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Isabel Morales Chabla,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Isabel Morales Chabla,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Isabel Morales Chabla,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Isabel Morales Chabla,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Isabel Morales Chabla,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Isabel Morales Chabla,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Isabel Morales Chabla,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Isabel Morales Chabla,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Isabel Morales Chabla,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Isabel Morales Chabla,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Isabel Morales Chabla,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Isabel Morales Chabla,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Isabel Morales Chabla,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Isabel Morales Chabla,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Isabel Morales Chabla,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Isabel Morales Chabla,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Isabel Morales Chabla,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Jonathan Ruiz García,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Jonathan Ruiz García,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Jonathan Ruiz García,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Jonathan Ruiz García,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jonathan Ruiz García,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jonathan Ruiz García,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Jonathan Ruiz García,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Jonathan Ruiz García,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Jonathan Ruiz García,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jonathan Ruiz García,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Jonathan Ruiz García,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Jonathan Ruiz García,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Jonathan Ruiz García,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Jonathan Ruiz García,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Jonathan Ruiz García,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Jonathan Ruiz García,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Jose Luis Escalona Muñoz,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Jose Luis Escalona Muñoz,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Jose Luis Escalona Muñoz,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Jose Luis Escalona Muñoz,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Jose Luis Escalona Muñoz,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Jose Luis Escalona Muñoz,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Jose Luis Escalona Muñoz,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jose Luis Escalona Muñoz,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jose Luis Escalona Muñoz,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Jose Luis Escalona Muñoz,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Jose Luis Escalona Muñoz,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Jose Luis Escalona Muñoz,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Jose Luis Escalona Muñoz,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Jose Luis Escalona Muñoz,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Jose Luis Escalona Muñoz,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Jose Luis Escalona Muñoz,Impulsos consumo y conductas que me preocupan,Consumo de alcohol o drogas,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Jose Luis Escalona Muñoz,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Jose Luis Escalona Muñoz,Impulsos consumo y conductas que me preocupan,Juego/apuestas u otras conductas difíciles de controlar,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Jose Luis Escalona Muñoz,Memoria y cambios cognitivos,Confusión/desorientación o cambios de conducta en persona mayor,Detección de demencias
Jose Luis Escalona Muñoz,Memoria y cambios cognitivos,Olvidos frecuentes que afectan el día a día,Detección de demencias
Jose Luis Escalona Muñoz,Memoria y cambios cognitivos,Sospecha o evaluación de demencia,Detección de demencias
Jose Luis Escalona Muñoz,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Jose Luis Escalona Muñoz,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Jose Luis Escalona Muñoz,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Jose Luis Escalona Muñoz,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Jose Luis Escalona Muñoz,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Jose Luis Escalona Muñoz,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Jose Luis Escalona Muñoz,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Jose Luis Escalona Muñoz,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Jose Luis Escalona Muñoz,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Karin Renck Orellana,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Karin Renck Orellana,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Karin Renck Orellana,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Karin Renck Orellana,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Karin Renck Orellana,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Karin Renck Orellana,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Karin Renck Orellana,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Karin Renck Orellana,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Karin Renck Orellana,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Karin Renck Orellana,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Karin Renck Orellana,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Karin Renck Orellana,Evaluación psicológica / informe / orientación,Informe para contexto educacional/laboral (según pertinencia).,Evaluación psicológica / informe / orientación
Karin Renck Orellana,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Karin Renck Orellana,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Karin Renck Orellana,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Karin Renck Orellana,Impulsos consumo y conductas que me preocupan,Consumo de alcohol o drogas,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Karin Renck Orellana,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Karin Renck Orellana,Impulsos consumo y conductas que me preocupan,Juego/apuestas u otras conductas difíciles de controlar,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Karin Renck Orellana,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Karin Renck Orellana,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Karin Renck Orellana,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Karin Renck Orellana,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Karin Renck Orellana,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Karin Renck Orellana,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Karin Renck Orellana,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Karin Renck Orellana,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
