Profesional,Categoría CIE-10,Sub-Motivo (etiqueta usuario),Motivo Técnico (base de datos)
Karin Renck Orellana,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Karin Renck Orellana,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Karin Renck Orellana,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Karin Renck Orellana,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Karin Renck Orellana,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Kevin Mena Andrade,Alimentación y relación con la comida,Vómitos/laxantes/compensaciones,Bulimia Nerviosa
Kevin Mena Andrade,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Kevin Mena Andrade,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Kevin Mena Andrade,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Kevin Mena Andrade,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Kevin Mena Andrade,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Kevin Mena Andrade,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Kevin Mena Andrade,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Kevin Mena Andrade,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Kevin Mena Andrade,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Kevin Mena Andrade,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Kevin Mena Andrade,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Kevin Mena Andrade,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Kevin Mena Andrade,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Kevin Mena Andrade,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Kevin Mena Andrade,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Kevin Mena Andrade,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Kevin Mena Andrade,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Kevin Mena Andrade,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Kevin Mena Andrade,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Kevin Mena Andrade,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Kevin Mena Andrade,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Kevin Mena Andrade,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Kevin Mena Andrade,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Kevin Mena Andrade,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Kevin Mena Andrade,Impulsos consumo y conductas que me preocupan,Consumo de alcohol o drogas,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Kevin Mena Andrade,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Kevin Mena Andrade,Impulsos consumo y conductas que me preocupan,Juego/apuestas u otras conductas difíciles de controlar,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Kevin Mena Andrade,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Kevin Mena Andrade,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Kevin Mena Andrade,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Kevin Mena Andrade,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Kevin Mena Andrade,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Kevin Mena Andrade,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Kevin Mena Andrade,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Kevin Mena Andrade,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Kevin Mena Andrade,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Kevin Mena Andrade,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Luna Jara de Barca,Alimentación y relación con la comida,Atracones / comer sin control,Trastorno por Atracón
Luna Jara de Barca,Alimentación y relación con la comida,Culpa o vergüenza intensa al comer / imagen corporal,Trastorno por Atracón
Luna Jara de Barca,Alimentación y relación con la comida,Restricción alimentaria / miedo a subir de peso,Anorexia Nerviosa
Luna Jara de Barca,Alimentación y relación con la comida,Vómitos/laxantes/compensaciones,Bulimia Nerviosa
Luna Jara de Barca,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Luna Jara de Barca,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Luna Jara de Barca,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Luna Jara de Barca,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Luna Jara de Barca,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Luna Jara de Barca,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Luna Jara de Barca,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Luna Jara de Barca,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Luna Jara de Barca,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Luna Jara de Barca,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Luna Jara de Barca,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Luna Jara de Barca,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Luna Jara de Barca,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Luna Jara de Barca,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Luna Jara de Barca,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Luna Jara de Barca,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Luna Jara de Barca,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Luna Jara de Barca,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Luna Jara de Barca,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Luna Jara de Barca,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Luna Jara de Barca,Evaluación psicológica / informe / orientación,Informe para contexto educacional/laboral (según pertinencia).,Evaluación psicológica / informe / orientación
Luna Jara de Barca,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Luna Jara de Barca,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Luna Jara de Barca,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Luna Jara de Barca,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Luna Jara de Barca,Impulsos consumo y conductas que me preocupan,Consumo de alcohol o drogas,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Luna Jara de Barca,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Luna Jara de Barca,Impulsos consumo y conductas que me preocupan,Juego/apuestas u otras conductas difíciles de controlar,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Luna Jara de Barca,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Luna Jara de Barca,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Luna Jara de Barca,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Luna Jara de Barca,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Luna Jara de Barca,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Luna Jara de Barca,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Luna Jara de Barca,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Luna Jara de Barca,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Luna Jara de Barca,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Luna Jara de Barca,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Luna Jara de Barca,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Luna Jara de Barca,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Periodos de mucha energía y poco sueño,Trastorno Bipolar
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Luna Jara de Barca,Ánimo bajo desmotivación y cambios de humor,Ánimo bajo desde hace mucho tiempo,Distimia (Depresión Persistente)
Macarena Cepeda Ayala,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Macarena Cepeda Ayala,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Macarena Cepeda Ayala,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Macarena Cepeda Ayala,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Macarena Cepeda Ayala,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Macarena Cepeda Ayala,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Macarena Cepeda Ayala,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Macarena Cepeda Ayala,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Macarena Cepeda Ayala,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Macarena Cepeda Ayala,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Macarena Cepeda Ayala,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Macarena Cepeda Ayala,Ánimo bajo desmotivación y cambios de humor,Me cuesta disfrutar / siento vacío,Depresión / tristeza persistente
Macarena Cepeda Ayala,Ánimo bajo desmotivación y cambios de humor,Tristeza persistente / llanto frecuente,Depresión / tristeza persistente
Marcela Salinas Abarca,Alimentación y relación con la comida,Atracones / comer sin control,Trastorno por Atracón
Marcela Salinas Abarca,Alimentación y relación con la comida,Culpa o vergüenza intensa al comer / imagen corporal,Trastorno por Atracón
Marcela Salinas Abarca,Alimentación y relación con la comida,Restricción alimentaria / miedo a subir de peso,Anorexia Nerviosa
Marcela Salinas Abarca,Alimentación y relación con la comida,Vómitos/laxantes/compensaciones,Bulimia Nerviosa
Marcela Salinas Abarca,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Marcela Salinas Abarca,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Marcela Salinas Abarca,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Marcela Salinas Abarca,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Marcela Salinas Abarca,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Marcela Salinas Abarca,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Marcela Salinas Abarca,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Marcela Salinas Abarca,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Marcela Salinas Abarca,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Marcela Salinas Abarca,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Marcela Salinas Abarca,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Marcela Salinas Abarca,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Marcela Salinas Abarca,Evaluación psicológica / informe / orientación,Informe para contexto educacional/laboral (según pertinencia).,Evaluación psicológica / informe / orientación
Marcela Salinas Abarca,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Marcela Salinas Abarca,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Recuerdos/pesadillas por lo vivido,Trastorno de Estrés Postraumático (TEPT)
Marcela Salinas Abarca,Experiencias difíciles trauma y violencia,Violencia en el hogar o en la relación,Violencia Intrafamiliar (VIF)
Marcela Salinas Abarca,Impulsos consumo y conductas que me preocupan,Autolesiones o pensamientos de hacerme daño,Conductas Autolesivas
Marcela Salinas Abarca,Impulsos consumo y conductas que me preocupan,Consumo de alcohol o drogas,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Marcela Salinas Abarca,Impulsos consumo y conductas que me preocupan,Ira/explosividad y conflictos frecuentes,Problemas de Ira y Agresividad
Marcela Salinas Abarca,Impulsos consumo y conductas que me preocupan,Juego/apuestas u otras conductas difíciles de controlar,Adicciones (alcohol drogas ludopatía internet redes sociales videojuegos)
Marcela Salinas Abarca,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Marcela Salinas Abarca,Relaciones familia pareja y crianza,Conflicto entre cuidador/a e hijo/a,Problemas RelacionalesFamiliares y de Pareja
Marcela Salinas Abarca,Relaciones familia pareja y crianza,Conflictos de pareja / comunicación / celos / infidelidad,Problemas RelacionalesFamiliares y de Pareja
Marcela Salinas Abarca,Relaciones familia pareja y crianza,Dificultades de crianza y límites,Problemas RelacionalesFamiliares y de Pareja
Marcela Salinas Abarca,Relaciones familia pareja y crianza,Problemas familiares o de convivencia,Problemas RelacionalesFamiliares y de Pareja
Marcela Salinas Abarca,Sexualidad e intimidad,Ansiedad culpa o vergüenza asociada a sexualidad,Sexualidad (disfunciones orientación identidad)
Marcela Salinas Abarca,Sexualidad e intimidad,Dificultades en sexualidad o intimidad,Sexualidad (disfunciones orientación identidad)
Marcela Salinas Abarca,Sexualidad e intimidad,Identidad/orientación y bienestar,Sexualidad (disfunciones orientación identidad)
Marcela Salinas Abarca,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Marcela Salinas Abarca,Sueño y malestar físico ligado a lo emocional,Insomnio o sueño poco reparador,Problemas de Sueño / Insomnio
Marcela Salinas Abarca,Sueño y malestar físico ligado a lo emocional,Pesadillas frecuentes,Trastorno de Estrés Postraumático (TEPT)
Marcela Salinas Abarca,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Marcela Salinas Abarca,Ánimo bajo desmotivación y cambios de humor,Cambios de ánimo intensos,Cambios de humor intensos
Marcela Salinas Abarca,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Marcela Salinas Abarca,Ánimo bajo desmotivación y cambios de humor,Irritabilidad sostenida,Cambios de humor intensos
